"bird_ID" "TransmGSM" "YEAR" "nest.x" "nest.y" "category"
322 "BC38EB1D" "2020" 7.2896 46.771 "nest"
416 "KISW01" "2020" 7.407 46.813 "nest"
330 "KIWS14" "2020" 7.1737 46.8681 "nest"
270 "KIWS30" "2019" 9.1886 47.4285 "nest"
308 "KIWS46" "2020" 7.3441 46.75 "nest"
370 "KIWS47" "2020" 7.378 46.8144 "nest"
349 "KIWS48" "2020" 7.1754 46.8585 "nest"
306 "KIWS53" "2020" 7.2499 46.7855 "nest"
337 "KIWS59" "2019" 7.1958 46.8925 "nest"
430 "KIWS60" "2020" 7.3672 46.8241 "nest"
303 "KIWS61" "2020" 7.3262 46.8578 "nest"
286 "KIWS83" "2019" 6.573 46.331 "nest"
342 "KIWS93" "2020" 7.3896 46.7991 "nest"
517 "KIWS95" "2020" 16.5733 49.4215 "nest"
161 "SWIK07" "2019" 7.7694 47.6992 "nest"
142 "SWIK12" "2018" 6.8198 46.6255 "nest"
137 "SWIK17" "2017" 7.3254 46.869 "nest"
82 "SWIK23" "2019" 7.2526 46.7704 "nest"
138 "SWIK25" "2017" 7.2762 46.8086 "nest"
154 "SWIK27" "2018" 7.2562 46.847 "nest"
151 "SWIK31" "2019" 7.0953 46.5557 "nest"
172 "SWIK33" "2018" 7.1309 46.7099 "nest"
140 "SWIK38" "2018" 7.8022 47.1033 "nest"
165 "SWIK46" "2018" 7.0183 46.7601 "nest"
157 "SWIK52" "2020" 8.825 47.6541 "nest"
40 "SWIK69" "2019" 7.3477 46.8702 "nest"
228 "SWIK71" "2018" 5.402 46.0458 "nest"
5 "SWIK84" "2018" 7.1634 46.8596 "nest"
91 "SWIK88" "2020" 7.2896 46.771 "nest"
124 "SWIK90" "2018" 7.5158 47.1122 "nest"
6 "SWIK95" "2019" 7.1791 46.8017 "nest"
26 "WSIK06" "2018" 7.2861 46.8891 "nest"
116 "WSIK18" "2019" 7.2481 46.7721 "nest"
43 "WSIK25" "2019" 7.187 46.7758 "nest"
399 "WSIK43" "2020" 7.3287 46.8079 "nest"
95 "WSIK50" "2019" 7.2832 46.7817 "nest"
49 "WSIK57" "2019" 7.3286 46.843 "nest"
251 "WSIK73" "2020" 7.3509 46.8571 "nest"
297 "WSIK79" "2019" 13.1281 48.1242 "nest"
325 "WSIK96" "2020" 7.3533 46.8086 "nest"
